data,timestamp,capital_livre,capital_total,posicoes_ativas,trades_do_dia,daily_pnl,capital_peak,drawdown_pct,capital_acumulado,total_trades,date
2024-10-09,2024-10-09,2.080000000000002,2.804831560263148,8,2,-32.195168439736854,2.804831560263148,0.0,2.804831560263148,2,2024-10-09
2024-10-10,2024-10-10,2.4199999999999946,3.0623146284077665,8,6,0.2574830681446185,3.0623146284077665,0.0,3.0623146284077665,8,2024-10-10
2024-10-11,2024-10-11,5.184000000000003,5.990674598678991,8,4,2.9283599702712246,5.990674598678991,0.0,5.990674598678991,12,2024-10-11
2024-10-12,2024-10-12,14.108000000000025,15.373348529269709,8,2,9.382673930590718,15.373348529269709,0.0,15.373348529269709,14,2024-10-12
2024-10-13,2024-10-13,15.864000000000047,17.09808360276421,8,0,1.7247350734945002,17.09808360276421,0.0,17.09808360276421,14,2024-10-13
2024-10-14,2024-10-14,15.780000000000094,16.652812550758796,8,8,-0.4452710520054133,17.09808360276421,-2.6042161352716002,16.652812550758796,22,2024-10-14
2024-10-15,2024-10-15,24.76000000000014,25.351339314004715,8,6,8.69852676324592,25.351339314004715,0.0,25.351339314004715,28,2024-10-15
2024-10-16,2024-10-16,31.268000000000214,32.06815562053175,8,10,6.716816306527033,32.06815562053175,0.0,32.06815562053175,38,2024-10-16
2024-10-17,2024-10-17,36.57200000000026,37.54212223503587,8,2,5.473966614504121,37.54212223503587,0.0,37.54212223503587,40,2024-10-17
2024-10-18,2024-10-18,36.61200000000033,37.51774984813666,8,8,-0.024372386899209175,37.54212223503587,-0.06492010959482693,37.51774984813666,48,2024-10-18
2024-10-19,2024-10-19,43.26000000000037,44.29782540059623,8,2,6.7800755524595715,44.29782540059623,0.0,44.29782540059623,50,2024-10-19
2024-10-20,2024-10-20,45.3480000000004,45.888355931211464,8,2,1.5905305306152329,45.888355931211464,0.0,45.888355931211464,52,2024-10-20
2024-10-21,2024-10-21,52.744000000000455,52.757368485912345,8,8,6.8690125547008805,52.757368485912345,0.0,52.757368485912345,60,2024-10-21
2024-10-22,2024-10-22,51.876000000000516,52.048228027131714,8,8,-0.7091404587806309,52.757368485912345,-1.3441543411513992,52.048228027131714,68,2024-10-22
2024-10-23,2024-10-23,53.916000000000565,54.23243667350158,8,8,2.184208646369868,54.23243667350158,0.0,54.23243667350158,76,2024-10-23
2024-10-24,2024-10-24,57.012000000000654,58.31261715935306,8,10,4.0801804858514785,58.31261715935306,0.0,58.31261715935306,86,2024-10-24
2024-10-25,2024-10-25,59.224000000000714,59.58751649817811,8,10,1.2748993388250511,59.58751649817811,0.0,59.58751649817811,96,2024-10-25
2024-10-26,2024-10-26,56.9320000000008,58.365806902351,8,0,-1.2217095958271145,59.58751649817811,-2.05027775551691,58.365806902351,96,2024-10-26
2024-10-27,2024-10-27,63.88000000000085,64.29215011978826,8,4,5.926343217437264,64.29215011978826,0.0,64.29215011978826,100,2024-10-27
