data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-08 21:00:00,2024-10-08 21:00:00,142.51,143.54,142.11,143.14,4356.386
2024-10-08 22:00:00,2024-10-08 22:00:00,143.69,144.02,142.29,142.5,3911.15
2024-10-08 23:00:00,2024-10-08 23:00:00,142.5,143.8,142.48,143.6,3367.179
2024-10-09 00:00:00,2024-10-09 00:00:00,142.36,142.74,141.86,142.51,2536.483
2024-10-09 01:00:00,2024-10-09 01:00:00,141.99,142.41,141.28,142.27,8710.004
2024-10-09 02:00:00,2024-10-09 02:00:00,143.72,143.8,141.94,141.94,5906.043
2024-10-09 03:00:00,2024-10-09 03:00:00,142.94,143.82,142.6,143.7,1350.722
2024-10-09 04:00:00,2024-10-09 04:00:00,142.46,142.99,142.2,142.93,1699.428
2024-10-09 05:00:00,2024-10-09 05:00:00,141.6,142.76,141.32,142.44,10103.237
2024-10-09 06:00:00,2024-10-09 06:00:00,142.5,142.61,141.51,141.58,3184.106
2024-10-09 07:00:00,2024-10-09 07:00:00,141.91,142.53,141.33,142.5,1422.134
2024-10-09 08:00:00,2024-10-09 08:00:00,141.8,142.02,141.36,141.94,3921.67
2024-10-09 09:00:00,2024-10-09 09:00:00,141.12,141.91,140.26,141.78,5751.685
2024-10-09 10:00:00,2024-10-09 10:00:00,140.23,141.36,139.88,141.05,8579.171
2024-10-09 11:00:00,2024-10-09 11:00:00,140.66,141.67,140.08,140.21,4016.885
2024-10-09 12:00:00,2024-10-09 12:00:00,143.75,144.23,140.6,140.72,9676.776
2024-10-09 13:00:00,2024-10-09 13:00:00,142.43,144.04,141.29,143.71,8287.108
2024-10-09 14:00:00,2024-10-09 14:00:00,143.1,143.59,141.85,142.41,3984.298
2024-10-09 15:00:00,2024-10-09 15:00:00,141.25,143.16,140.66,143.11,6504.764
2024-10-09 16:00:00,2024-10-09 16:00:00,141.49,141.84,140.57,141.24,4258.555
2024-10-09 17:00:00,2024-10-09 17:00:00,138.82,141.5,138.79,141.45,12768.772
2024-10-09 18:00:00,2024-10-09 18:00:00,140.13,142.6,138.42,138.79,26747.639
