data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-03 22:00:00,2024-10-03 22:00:00,24.71,24.82,24.58,24.73,34406.81
2024-10-03 23:00:00,2024-10-03 23:00:00,24.66,24.8,24.57,24.71,21616.85
2024-10-04 00:00:00,2024-10-04 00:00:00,24.44,24.69,24.44,24.66,66598.95
2024-10-04 01:00:00,2024-10-04 01:00:00,24.95,25.0,24.44,24.45,67677.32
2024-10-04 02:00:00,2024-10-04 02:00:00,25.02,25.12,24.87,24.96,55484.75
2024-10-04 03:00:00,2024-10-04 03:00:00,24.92,25.05,24.85,25.02,33602.04
2024-10-04 04:00:00,2024-10-04 04:00:00,24.96,25.14,24.87,24.92,42326.92
2024-10-04 05:00:00,2024-10-04 05:00:00,25.15,25.22,24.93,24.96,51467.73
2024-10-04 06:00:00,2024-10-04 06:00:00,25.03,25.23,25.02,25.15,57619.63
2024-10-04 07:00:00,2024-10-04 07:00:00,25.29,25.34,24.96,25.03,71005.45
2024-10-04 08:00:00,2024-10-04 08:00:00,25.45,25.61,25.26,25.3,99270.25
2024-10-04 09:00:00,2024-10-04 09:00:00,25.5,25.67,25.44,25.45,76196.19
2024-10-04 10:00:00,2024-10-04 10:00:00,25.43,25.59,25.37,25.5,64534.7
2024-10-04 11:00:00,2024-10-04 11:00:00,25.71,25.71,25.42,25.43,47392.95
2024-10-04 12:00:00,2024-10-04 12:00:00,25.9,25.92,25.47,25.7,162696.62
2024-10-04 13:00:00,2024-10-04 13:00:00,25.74,25.98,25.58,25.9,126573.0
2024-10-04 14:00:00,2024-10-04 14:00:00,25.64,25.76,25.3,25.74,133303.69
2024-10-04 15:00:00,2024-10-04 15:00:00,26.14,26.15,25.63,25.63,128747.38
2024-10-04 16:00:00,2024-10-04 16:00:00,26.45,26.49,26.01,26.15,138991.59
2024-10-04 17:00:00,2024-10-04 17:00:00,26.16,26.5,26.16,26.46,99065.05
2024-10-04 18:00:00,2024-10-04 18:00:00,26.37,26.46,26.08,26.17,90063.46
2024-10-04 19:00:00,2024-10-04 19:00:00,26.29,26.45,26.24,26.37,62468.93
2024-10-04 20:00:00,2024-10-04 20:00:00,26.34,26.37,26.23,26.29,38575.47
2024-10-04 21:00:00,2024-10-04 21:00:00,26.25,26.41,26.23,26.34,33089.4
2024-10-04 22:00:00,2024-10-04 22:00:00,26.22,26.3,26.15,26.26,27774.19
2024-10-04 23:00:00,2024-10-04 23:00:00,26.27,26.27,26.12,26.21,29917.0
2024-10-05 00:00:00,2024-10-05 00:00:00,26.38,26.45,26.19,26.27,58824.0
2024-10-05 01:00:00,2024-10-05 01:00:00,26.19,26.42,26.17,26.38,46841.24
2024-10-05 02:00:00,2024-10-05 02:00:00,25.86,26.22,25.8,26.19,82868.45
2024-10-05 03:00:00,2024-10-05 03:00:00,25.85,25.99,25.76,25.85,31886.86
2024-10-05 04:00:00,2024-10-05 04:00:00,25.97,26.09,25.8,25.85,48700.97
2024-10-05 05:00:00,2024-10-05 05:00:00,26.3,26.3,25.96,25.98,82115.86
2024-10-05 06:00:00,2024-10-05 06:00:00,26.2,26.32,26.17,26.29,33070.09
2024-10-05 07:00:00,2024-10-05 07:00:00,26.01,26.21,26.01,26.19,35892.33
2024-10-05 08:00:00,2024-10-05 08:00:00,26.05,26.13,25.98,26.02,31906.93
2024-10-05 09:00:00,2024-10-05 09:00:00,26.09,26.13,26.02,26.06,27489.27
2024-10-05 10:00:00,2024-10-05 10:00:00,25.85,26.09,25.84,26.08,31749.3
2024-10-05 11:00:00,2024-10-05 11:00:00,25.86,25.98,25.82,25.84,66179.57
2024-10-05 12:00:00,2024-10-05 12:00:00,25.95,25.96,25.83,25.86,28855.54
2024-10-05 13:00:00,2024-10-05 13:00:00,25.65,25.96,25.61,25.95,69865.94
2024-10-05 14:00:00,2024-10-05 14:00:00,25.7,25.79,25.58,25.65,34164.54
2024-10-05 15:00:00,2024-10-05 15:00:00,25.73,25.77,25.56,25.71,27890.16
2024-10-05 16:00:00,2024-10-05 16:00:00,25.51,25.75,25.49,25.74,34596.18
2024-10-05 17:00:00,2024-10-05 17:00:00,25.6,25.68,25.48,25.51,26922.38
2024-10-05 18:00:00,2024-10-05 18:00:00,25.52,25.65,25.44,25.61,32017.89
2024-10-05 19:00:00,2024-10-05 19:00:00,25.46,25.58,25.42,25.52,65367.87
