data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-03 22:00:00,2024-10-03 22:00:00,544.9,545.9,542.8,544.6,2849.806
2024-10-03 23:00:00,2024-10-03 23:00:00,544.8,545.9,543.6,544.9,3190.654
2024-10-04 00:00:00,2024-10-04 00:00:00,542.7,546.4,541.8,544.8,7046.698
2024-10-04 01:00:00,2024-10-04 01:00:00,549.0,549.4,542.7,542.8,8140.736
2024-10-04 02:00:00,2024-10-04 02:00:00,546.3,549.6,546.2,549.1,4275.903
2024-10-04 03:00:00,2024-10-04 03:00:00,546.8,547.0,545.5,546.3,3089.177
2024-10-04 04:00:00,2024-10-04 04:00:00,547.7,549.6,546.5,546.7,5832.754
2024-10-04 05:00:00,2024-10-04 05:00:00,549.5,549.6,547.3,547.6,5722.27
2024-10-04 06:00:00,2024-10-04 06:00:00,547.9,550.4,547.8,549.6,5647.848
2024-10-04 07:00:00,2024-10-04 07:00:00,550.6,550.7,547.2,547.9,5428.769
2024-10-04 08:00:00,2024-10-04 08:00:00,552.0,554.5,550.5,550.6,13045.768
2024-10-04 09:00:00,2024-10-04 09:00:00,551.0,553.4,550.7,552.0,6267.656
2024-10-04 10:00:00,2024-10-04 10:00:00,552.3,552.7,550.7,550.9,6113.748
2024-10-04 11:00:00,2024-10-04 11:00:00,553.4,553.5,552.1,552.4,3936.434
2024-10-04 12:00:00,2024-10-04 12:00:00,556.1,556.1,551.1,553.3,20268.22
2024-10-04 13:00:00,2024-10-04 13:00:00,551.5,556.9,550.8,556.0,14421.61
2024-10-04 14:00:00,2024-10-04 14:00:00,548.2,551.7,545.3,551.6,12980.028
2024-10-04 15:00:00,2024-10-04 15:00:00,553.7,553.7,548.2,548.3,16336.77
2024-10-04 16:00:00,2024-10-04 16:00:00,556.2,557.3,552.2,553.7,17486.922
2024-10-04 17:00:00,2024-10-04 17:00:00,553.3,556.7,553.0,556.2,6457.111
2024-10-04 18:00:00,2024-10-04 18:00:00,556.8,556.8,552.4,553.2,4941.234
2024-10-04 19:00:00,2024-10-04 19:00:00,557.3,557.7,556.0,556.8,4996.413
2024-10-04 20:00:00,2024-10-04 20:00:00,556.7,557.8,555.5,557.3,3207.738
2024-10-04 21:00:00,2024-10-04 21:00:00,555.7,557.0,555.6,556.6,1795.696
2024-10-04 22:00:00,2024-10-04 22:00:00,556.1,556.6,555.3,555.6,3958.694
2024-10-04 23:00:00,2024-10-04 23:00:00,555.3,556.3,554.7,556.1,4771.431
2024-10-05 00:00:00,2024-10-05 00:00:00,557.6,557.6,555.2,555.3,3420.478
2024-10-05 01:00:00,2024-10-05 01:00:00,556.6,558.0,555.6,557.5,5062.872
2024-10-05 02:00:00,2024-10-05 02:00:00,553.1,556.7,552.8,556.6,4387.166
2024-10-05 03:00:00,2024-10-05 03:00:00,553.6,554.3,551.6,553.1,5639.329
2024-10-05 04:00:00,2024-10-05 04:00:00,556.1,557.0,553.5,553.6,3809.649
2024-10-05 05:00:00,2024-10-05 05:00:00,558.4,558.7,556.0,556.0,3167.345
2024-10-05 06:00:00,2024-10-05 06:00:00,561.3,561.3,557.6,558.5,6982.068
2024-10-05 07:00:00,2024-10-05 07:00:00,561.9,565.0,560.1,561.3,18994.288
2024-10-05 08:00:00,2024-10-05 08:00:00,564.4,564.7,561.8,561.9,5800.052
2024-10-05 09:00:00,2024-10-05 09:00:00,562.8,565.2,562.8,564.4,6079.198
2024-10-05 10:00:00,2024-10-05 10:00:00,561.7,564.5,561.7,562.8,4921.41
2024-10-05 11:00:00,2024-10-05 11:00:00,561.4,562.7,561.0,561.7,3117.978
2024-10-05 12:00:00,2024-10-05 12:00:00,563.2,563.2,561.4,561.4,3468.408
2024-10-05 13:00:00,2024-10-05 13:00:00,560.8,563.3,560.3,563.2,4541.97
2024-10-05 14:00:00,2024-10-05 14:00:00,562.1,563.1,560.4,560.8,4603.002
2024-10-05 15:00:00,2024-10-05 15:00:00,564.2,564.8,561.1,562.2,6506.236
2024-10-05 16:00:00,2024-10-05 16:00:00,561.7,564.8,561.1,564.1,5641.123
2024-10-05 17:00:00,2024-10-05 17:00:00,563.4,564.5,561.4,561.7,4309.157
2024-10-05 18:00:00,2024-10-05 18:00:00,561.8,563.9,561.5,563.4,4102.141
2024-10-05 19:00:00,2024-10-05 19:00:00,560.6,562.7,559.3,561.8,6568.893
2024-10-05 20:00:00,2024-10-05 20:00:00,558.7,560.9,558.1,560.6,3913.844
2024-10-05 21:00:00,2024-10-05 21:00:00,561.3,562.2,557.9,558.6,2361.408
2024-10-05 22:00:00,2024-10-05 22:00:00,563.9,564.0,561.1,561.2,3010.578
2024-10-05 23:00:00,2024-10-05 23:00:00,563.0,564.0,562.3,564.0,4497.789
2024-10-06 00:00:00,2024-10-06 00:00:00,562.5,563.6,561.4,563.0,3353.385
2024-10-06 01:00:00,2024-10-06 01:00:00,565.7,566.0,562.2,562.5,6537.496
2024-10-06 02:00:00,2024-10-06 02:00:00,564.4,566.2,564.0,565.7,3316.649
2024-10-06 03:00:00,2024-10-06 03:00:00,561.9,564.8,561.9,564.3,3570.05
2024-10-06 04:00:00,2024-10-06 04:00:00,562.4,563.6,561.3,562.0,2772.944
2024-10-06 05:00:00,2024-10-06 05:00:00,562.7,563.2,561.3,562.5,4010.608
2024-10-06 06:00:00,2024-10-06 06:00:00,562.3,563.9,561.8,562.6,3241.345
2024-10-06 07:00:00,2024-10-06 07:00:00,562.5,563.4,562.2,562.3,4612.782
2024-10-06 08:00:00,2024-10-06 08:00:00,562.7,563.7,561.1,562.6,3679.331
2024-10-06 09:00:00,2024-10-06 09:00:00,563.2,563.9,562.2,562.6,2419.99
2024-10-06 10:00:00,2024-10-06 10:00:00,561.4,563.5,561.4,563.3,3148.511
2024-10-06 11:00:00,2024-10-06 11:00:00,562.6,563.4,561.4,561.5,2271.14
2024-10-06 12:00:00,2024-10-06 12:00:00,563.4,563.7,561.8,562.6,5773.082
2024-10-06 13:00:00,2024-10-06 13:00:00,563.7,564.3,563.1,563.4,4211.22
2024-10-06 14:00:00,2024-10-06 14:00:00,568.4,568.9,562.7,563.8,8559.407
2024-10-06 15:00:00,2024-10-06 15:00:00,567.3,569.1,565.2,568.4,6170.444
2024-10-06 16:00:00,2024-10-06 16:00:00,565.8,568.4,565.2,567.3,5763.021
2024-10-06 17:00:00,2024-10-06 17:00:00,565.9,567.7,565.7,565.9,4520.003
2024-10-06 18:00:00,2024-10-06 18:00:00,566.2,567.5,565.8,565.9,2178.478
2024-10-06 19:00:00,2024-10-06 19:00:00,565.8,568.1,565.7,566.3,3955.914
2024-10-06 20:00:00,2024-10-06 20:00:00,567.1,567.2,565.7,565.8,1963.136
2024-10-06 21:00:00,2024-10-06 21:00:00,564.3,567.4,563.6,567.0,6028.352
2024-10-06 22:00:00,2024-10-06 22:00:00,567.4,567.4,564.3,564.4,4649.547
2024-10-06 23:00:00,2024-10-06 23:00:00,570.3,571.9,567.3,567.3,10080.505
2024-10-07 00:00:00,2024-10-07 00:00:00,575.6,576.0,567.7,570.4,14845.18
2024-10-07 01:00:00,2024-10-07 01:00:00,575.8,576.2,573.9,575.5,11115.677
2024-10-07 02:00:00,2024-10-07 02:00:00,574.9,577.5,574.7,575.9,7978.12
2024-10-07 03:00:00,2024-10-07 03:00:00,573.4,575.8,571.5,574.8,8195.811
2024-10-07 04:00:00,2024-10-07 04:00:00,573.0,575.8,572.9,573.4,5420.25
2024-10-07 05:00:00,2024-10-07 05:00:00,573.8,574.6,572.4,573.0,4719.42
2024-10-07 06:00:00,2024-10-07 06:00:00,577.1,577.3,573.3,573.9,6190.799
2024-10-07 07:00:00,2024-10-07 07:00:00,576.1,577.5,575.3,577.0,4978.719
2024-10-07 08:00:00,2024-10-07 08:00:00,576.0,577.7,576.0,576.0,4213.167
2024-10-07 09:00:00,2024-10-07 09:00:00,572.7,576.0,570.4,576.0,11981.79
2024-10-07 10:00:00,2024-10-07 10:00:00,569.4,572.8,568.2,572.6,8639.991
2024-10-07 11:00:00,2024-10-07 11:00:00,571.9,572.0,566.9,569.4,10158.092
2024-10-07 12:00:00,2024-10-07 12:00:00,570.9,572.6,570.5,571.9,5104.149
2024-10-07 13:00:00,2024-10-07 13:00:00,575.3,576.7,570.6,570.9,8533.134
2024-10-07 14:00:00,2024-10-07 14:00:00,577.0,581.8,575.1,575.3,22545.028
2024-10-07 15:00:00,2024-10-07 15:00:00,575.7,577.2,573.8,576.9,11883.835
2024-10-07 16:00:00,2024-10-07 16:00:00,577.1,577.2,573.2,575.7,6823.947
2024-10-07 17:00:00,2024-10-07 17:00:00,576.3,577.7,575.0,577.1,4122.675
2024-10-07 18:00:00,2024-10-07 18:00:00,568.2,576.6,566.9,576.3,13045.275
2024-10-07 19:00:00,2024-10-07 19:00:00,572.5,573.0,568.2,568.3,9192.275
2024-10-07 20:00:00,2024-10-07 20:00:00,570.5,572.8,570.3,572.6,6602.566
2024-10-07 21:00:00,2024-10-07 21:00:00,573.6,573.7,570.3,570.5,3292.631
2024-10-07 22:00:00,2024-10-07 22:00:00,567.9,574.2,567.4,573.5,7896.016
2024-10-07 23:00:00,2024-10-07 23:00:00,564.3,569.2,563.5,567.9,15568.129
2024-10-08 00:00:00,2024-10-08 00:00:00,569.7,569.9,563.3,564.4,9970.258
2024-10-08 01:00:00,2024-10-08 01:00:00,570.5,571.4,567.3,569.8,5169.93
2024-10-08 02:00:00,2024-10-08 02:00:00,569.9,571.3,567.6,570.4,4908.278
2024-10-08 03:00:00,2024-10-08 03:00:00,569.8,570.3,568.1,570.0,6485.081
2024-10-08 04:00:00,2024-10-08 04:00:00,569.4,570.9,568.1,569.8,4259.957
2024-10-08 05:00:00,2024-10-08 05:00:00,565.1,570.0,563.0,569.5,9232.968
2024-10-08 06:00:00,2024-10-08 06:00:00,565.7,565.7,562.5,565.1,6344.716
2024-10-08 07:00:00,2024-10-08 07:00:00,563.4,565.7,559.5,565.7,7956.033
2024-10-08 08:00:00,2024-10-08 08:00:00,572.0,572.4,562.1,563.5,33153.298
2024-10-08 09:00:00,2024-10-08 09:00:00,572.7,573.0,569.5,572.0,14234.286
2024-10-08 10:00:00,2024-10-08 10:00:00,573.4,574.6,571.3,572.7,8966.12
2024-10-08 11:00:00,2024-10-08 11:00:00,577.1,577.2,573.1,573.4,14853.453
2024-10-08 12:00:00,2024-10-08 12:00:00,574.5,577.8,574.3,577.0,10677.012
2024-10-08 13:00:00,2024-10-08 13:00:00,578.2,578.5,572.7,574.5,17955.402
2024-10-08 14:00:00,2024-10-08 14:00:00,578.7,579.2,572.7,578.3,15578.244
2024-10-08 15:00:00,2024-10-08 15:00:00,578.1,580.4,573.4,578.7,25413.626
2024-10-08 16:00:00,2024-10-08 16:00:00,583.0,583.4,576.3,578.0,15008.402
2024-10-08 17:00:00,2024-10-08 17:00:00,580.4,583.3,578.3,582.9,15240.442
2024-10-08 18:00:00,2024-10-08 18:00:00,580.9,581.8,578.4,580.3,12610.214
2024-10-08 19:00:00,2024-10-08 19:00:00,585.5,586.8,578.6,580.8,16479.655
2024-10-08 20:00:00,2024-10-08 20:00:00,583.5,586.3,582.9,585.6,8502.423
2024-10-08 21:00:00,2024-10-08 21:00:00,583.6,584.6,582.7,583.4,6190.21
2024-10-08 22:00:00,2024-10-08 22:00:00,580.5,583.8,579.5,583.6,8349.717
2024-10-08 23:00:00,2024-10-08 23:00:00,580.8,581.7,579.1,580.6,8736.452
2024-10-09 00:00:00,2024-10-09 00:00:00,579.8,582.2,577.5,580.8,10598.145
2024-10-09 01:00:00,2024-10-09 01:00:00,579.8,583.1,579.0,579.9,24642.573
