data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-08 21:00:00,2024-10-08 21:00:00,0.2536,0.2542,0.252,0.2529,1327138.6
2024-10-08 22:00:00,2024-10-08 22:00:00,0.2554,0.2567,0.2534,0.2536,1313711.0
2024-10-08 23:00:00,2024-10-08 23:00:00,0.2545,0.2558,0.2545,0.2555,840690.2
2024-10-09 00:00:00,2024-10-09 00:00:00,0.2547,0.2551,0.253,0.2546,1266690.9
2024-10-09 01:00:00,2024-10-09 01:00:00,0.2545,0.2558,0.2539,0.2546,815091.1
2024-10-09 02:00:00,2024-10-09 02:00:00,0.2556,0.2558,0.2545,0.2545,646567.0
2024-10-09 03:00:00,2024-10-09 03:00:00,0.2549,0.2561,0.254,0.2555,1155755.7
2024-10-09 04:00:00,2024-10-09 04:00:00,0.2538,0.2549,0.253,0.2548,934378.7
2024-10-09 05:00:00,2024-10-09 05:00:00,0.2528,0.2538,0.2524,0.2537,1485504.9
2024-10-09 06:00:00,2024-10-09 06:00:00,0.2539,0.2542,0.2527,0.2529,715215.4
2024-10-09 07:00:00,2024-10-09 07:00:00,0.2531,0.2539,0.2525,0.2538,518681.6
2024-10-09 08:00:00,2024-10-09 08:00:00,0.2533,0.2536,0.2528,0.2531,724852.2
2024-10-09 09:00:00,2024-10-09 09:00:00,0.2506,0.2532,0.2494,0.2532,2996511.1
2024-10-09 10:00:00,2024-10-09 10:00:00,0.248,0.2508,0.2478,0.2505,3600594.7
2024-10-09 11:00:00,2024-10-09 11:00:00,0.2474,0.2498,0.247,0.248,2612320.1
2024-10-09 12:00:00,2024-10-09 12:00:00,0.2517,0.2525,0.2471,0.2475,2429878.7
2024-10-09 13:00:00,2024-10-09 13:00:00,0.2492,0.2521,0.2486,0.2517,2289710.0
2024-10-09 14:00:00,2024-10-09 14:00:00,0.2506,0.2516,0.2484,0.2492,1392845.3
2024-10-09 15:00:00,2024-10-09 15:00:00,0.248,0.2516,0.2473,0.2507,2069314.8
2024-10-09 16:00:00,2024-10-09 16:00:00,0.247,0.2486,0.2465,0.248,1259098.5
2024-10-09 17:00:00,2024-10-09 17:00:00,0.2507,0.2532,0.2443,0.2469,7429898.5
2024-10-09 18:00:00,2024-10-09 18:00:00,0.254,0.2545,0.2504,0.2507,2561898.6
2024-10-09 19:00:00,2024-10-09 19:00:00,0.2567,0.2568,0.2526,0.2541,2326000.9
2024-10-09 20:00:00,2024-10-09 20:00:00,0.2575,0.2594,0.2552,0.2567,3329102.6
2024-10-09 21:00:00,2024-10-09 21:00:00,0.2572,0.2584,0.2551,0.2574,2444623.7
2024-10-09 22:00:00,2024-10-09 22:00:00,0.2619,0.263,0.2572,0.2572,3302897.6
2024-10-09 23:00:00,2024-10-09 23:00:00,0.261,0.2621,0.2604,0.2618,1632854.7
2024-10-10 00:00:00,2024-10-10 00:00:00,0.26,0.2617,0.26,0.2611,1157015.7
2024-10-10 01:00:00,2024-10-10 01:00:00,0.2627,0.2629,0.2598,0.26,2264480.1
2024-10-10 02:00:00,2024-10-10 02:00:00,0.265,0.265,0.2627,0.2627,2132562.0
2024-10-10 03:00:00,2024-10-10 03:00:00,0.2639,0.2663,0.2633,0.2649,2286192.4
2024-10-10 04:00:00,2024-10-10 04:00:00,0.2622,0.2647,0.2621,0.2639,1140863.1
2024-10-10 05:00:00,2024-10-10 05:00:00,0.2618,0.2645,0.261,0.2623,2373333.5
2024-10-10 06:00:00,2024-10-10 06:00:00,0.2597,0.2623,0.2579,0.2619,3540047.6
2024-10-10 07:00:00,2024-10-10 07:00:00,0.2601,0.261,0.2588,0.2597,1731219.4
2024-10-10 08:00:00,2024-10-10 08:00:00,0.2625,0.2627,0.2598,0.26,1673957.4
2024-10-10 09:00:00,2024-10-10 09:00:00,0.2627,0.264,0.2602,0.2625,3935353.2
2024-10-10 10:00:00,2024-10-10 10:00:00,0.2613,0.263,0.259,0.2626,3481149.0
