data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-03 22:00:00,2024-10-03 22:00:00,0.10515,0.1057,0.10453,0.10489,16959865.0
2024-10-03 23:00:00,2024-10-03 23:00:00,0.10507,0.10551,0.1048,0.10514,10290617.0
2024-10-04 00:00:00,2024-10-04 00:00:00,0.10484,0.10578,0.10475,0.10506,21512923.0
2024-10-04 01:00:00,2024-10-04 01:00:00,0.10665,0.10697,0.10483,0.10485,47975032.0
2024-10-04 02:00:00,2024-10-04 02:00:00,0.10659,0.10693,0.10593,0.10666,21528728.0
2024-10-04 03:00:00,2024-10-04 03:00:00,0.10639,0.10676,0.10612,0.10658,17836756.0
2024-10-04 04:00:00,2024-10-04 04:00:00,0.10698,0.10751,0.10637,0.1064,21776785.0
2024-10-04 05:00:00,2024-10-04 05:00:00,0.1083,0.10834,0.1069,0.107,35159358.0
2024-10-04 06:00:00,2024-10-04 06:00:00,0.10744,0.10855,0.10741,0.10829,36016223.0
2024-10-04 07:00:00,2024-10-04 07:00:00,0.10802,0.1082,0.10715,0.10744,22902522.0
2024-10-04 08:00:00,2024-10-04 08:00:00,0.10803,0.10885,0.10774,0.108,32050134.0
2024-10-04 09:00:00,2024-10-04 09:00:00,0.10741,0.10856,0.10736,0.10803,34687203.0
2024-10-04 10:00:00,2024-10-04 10:00:00,0.10735,0.10798,0.10718,0.1074,16090536.0
2024-10-04 11:00:00,2024-10-04 11:00:00,0.10854,0.10865,0.10725,0.10736,19432140.0
2024-10-04 12:00:00,2024-10-04 12:00:00,0.10998,0.11004,0.10784,0.10855,90741625.0
2024-10-04 13:00:00,2024-10-04 13:00:00,0.10821,0.11034,0.10786,0.10998,112029193.0
2024-10-04 14:00:00,2024-10-04 14:00:00,0.1074,0.10828,0.10658,0.1082,47853766.0
2024-10-04 15:00:00,2024-10-04 15:00:00,0.10826,0.10843,0.10739,0.1074,39823360.0
2024-10-04 16:00:00,2024-10-04 16:00:00,0.10914,0.10944,0.1079,0.10826,40357094.0
2024-10-04 17:00:00,2024-10-04 17:00:00,0.10869,0.10939,0.10826,0.10913,25978856.0
2024-10-04 18:00:00,2024-10-04 18:00:00,0.10947,0.10947,0.10853,0.1087,15554303.0
2024-10-04 19:00:00,2024-10-04 19:00:00,0.11042,0.11059,0.10924,0.10946,49615804.0
2024-10-04 20:00:00,2024-10-04 20:00:00,0.11011,0.11052,0.10956,0.11042,21385470.0
2024-10-04 21:00:00,2024-10-04 21:00:00,0.10956,0.11032,0.10945,0.1101,15372376.0
2024-10-04 22:00:00,2024-10-04 22:00:00,0.10936,0.10992,0.10921,0.10957,13864152.0
2024-10-04 23:00:00,2024-10-04 23:00:00,0.10924,0.1094,0.10874,0.10937,15424278.0
2024-10-05 00:00:00,2024-10-05 00:00:00,0.11007,0.11013,0.10923,0.10924,23070400.0
2024-10-05 01:00:00,2024-10-05 01:00:00,0.1091,0.11025,0.10897,0.11007,25138534.0
2024-10-05 02:00:00,2024-10-05 02:00:00,0.10802,0.1092,0.10788,0.10911,18061394.0
2024-10-05 03:00:00,2024-10-05 03:00:00,0.10789,0.1083,0.10747,0.10803,20312220.0
2024-10-05 04:00:00,2024-10-05 04:00:00,0.10827,0.10862,0.1076,0.10789,10773897.0
2024-10-05 05:00:00,2024-10-05 05:00:00,0.10912,0.10915,0.10822,0.10827,22533202.0
2024-10-05 06:00:00,2024-10-05 06:00:00,0.1092,0.10921,0.1085,0.10911,10246166.0
2024-10-05 07:00:00,2024-10-05 07:00:00,0.10875,0.10933,0.10874,0.10919,10368791.0
2024-10-05 08:00:00,2024-10-05 08:00:00,0.10956,0.10957,0.10875,0.10875,9483234.0
2024-10-05 09:00:00,2024-10-05 09:00:00,0.10976,0.11002,0.1094,0.10957,15613012.0
2024-10-05 10:00:00,2024-10-05 10:00:00,0.10924,0.10998,0.10916,0.10977,16309148.0
2024-10-05 11:00:00,2024-10-05 11:00:00,0.10915,0.10956,0.10905,0.10924,8998986.0
2024-10-05 12:00:00,2024-10-05 12:00:00,0.10975,0.10978,0.10913,0.10915,10551541.0
2024-10-05 13:00:00,2024-10-05 13:00:00,0.10875,0.10988,0.10866,0.10975,23423689.0
2024-10-05 14:00:00,2024-10-05 14:00:00,0.10917,0.10938,0.10854,0.10874,17193946.0
2024-10-05 15:00:00,2024-10-05 15:00:00,0.10973,0.10996,0.1087,0.10918,21055502.0
2024-10-05 16:00:00,2024-10-05 16:00:00,0.10887,0.11024,0.10876,0.10974,32991785.0
2024-10-05 17:00:00,2024-10-05 17:00:00,0.10916,0.10951,0.10874,0.10887,14774789.0
