data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-08 21:00:00,2024-10-08 21:00:00,0.2828,0.2852,0.2806,0.2826,5269772.93
2024-10-08 22:00:00,2024-10-08 22:00:00,0.2837,0.2879,0.2816,0.2827,4142934.75
2024-10-08 23:00:00,2024-10-08 23:00:00,0.2802,0.2842,0.2801,0.2838,3070808.15
2024-10-09 00:00:00,2024-10-09 00:00:00,0.2815,0.283,0.2781,0.2802,4524366.04
2024-10-09 01:00:00,2024-10-09 01:00:00,0.2816,0.2846,0.2802,0.2814,1838043.1
2024-10-09 02:00:00,2024-10-09 02:00:00,0.2883,0.2896,0.2814,0.2815,2898798.26
2024-10-09 03:00:00,2024-10-09 03:00:00,0.2843,0.2888,0.2835,0.2883,2709761.88
2024-10-09 04:00:00,2024-10-09 04:00:00,0.2822,0.2843,0.2797,0.2843,5085666.1
2024-10-09 05:00:00,2024-10-09 05:00:00,0.2833,0.2848,0.2817,0.2823,3067498.19
2024-10-09 06:00:00,2024-10-09 06:00:00,0.2857,0.2865,0.2823,0.2834,2556733.62
2024-10-09 07:00:00,2024-10-09 07:00:00,0.2825,0.2863,0.2819,0.2858,2838737.57
2024-10-09 08:00:00,2024-10-09 08:00:00,0.286,0.2875,0.2817,0.2825,2077490.7
2024-10-09 09:00:00,2024-10-09 09:00:00,0.2793,0.2861,0.2755,0.286,6442382.54
2024-10-09 10:00:00,2024-10-09 10:00:00,0.2746,0.2805,0.2743,0.2793,8213675.16
2024-10-09 11:00:00,2024-10-09 11:00:00,0.2737,0.2772,0.2721,0.2747,5763029.35
2024-10-09 12:00:00,2024-10-09 12:00:00,0.2835,0.2858,0.2733,0.2737,8211479.27
2024-10-09 13:00:00,2024-10-09 13:00:00,0.277,0.2847,0.2761,0.2835,3918665.52
2024-10-09 14:00:00,2024-10-09 14:00:00,0.2757,0.2786,0.2748,0.277,2485550.18
2024-10-09 15:00:00,2024-10-09 15:00:00,0.2733,0.2765,0.2713,0.2756,6114703.78
2024-10-09 16:00:00,2024-10-09 16:00:00,0.2704,0.2743,0.2699,0.2732,3233608.62
2024-10-09 17:00:00,2024-10-09 17:00:00,0.2664,0.2728,0.2645,0.2703,8487315.34
2024-10-09 18:00:00,2024-10-09 18:00:00,0.2718,0.2722,0.2655,0.2663,2551299.65
2024-10-09 19:00:00,2024-10-09 19:00:00,0.269,0.272,0.268,0.2717,2108553.54
2024-10-09 20:00:00,2024-10-09 20:00:00,0.2671,0.2699,0.2671,0.269,1420067.42
2024-10-09 21:00:00,2024-10-09 21:00:00,0.2669,0.2684,0.2643,0.2671,2838652.05
2024-10-09 22:00:00,2024-10-09 22:00:00,0.2676,0.2703,0.2668,0.2668,3248939.81
2024-10-09 23:00:00,2024-10-09 23:00:00,0.2685,0.269,0.2673,0.2676,1990906.76
2024-10-10 00:00:00,2024-10-10 00:00:00,0.2677,0.2712,0.2675,0.2684,1388936.64
2024-10-10 01:00:00,2024-10-10 01:00:00,0.267,0.2682,0.2662,0.2676,1946640.2
2024-10-10 02:00:00,2024-10-10 02:00:00,0.2711,0.2727,0.2665,0.267,1553280.69
2024-10-10 03:00:00,2024-10-10 03:00:00,0.2767,0.278,0.2709,0.2711,3858269.84
2024-10-10 04:00:00,2024-10-10 04:00:00,0.2746,0.2819,0.2746,0.2766,4798892.47
2024-10-10 05:00:00,2024-10-10 05:00:00,0.2747,0.2791,0.2725,0.2746,3939668.84
2024-10-10 06:00:00,2024-10-10 06:00:00,0.2704,0.2751,0.2687,0.2746,3928533.75
2024-10-10 07:00:00,2024-10-10 07:00:00,0.2773,0.2794,0.2702,0.2704,6770942.86
2024-10-10 08:00:00,2024-10-10 08:00:00,0.2744,0.2776,0.2725,0.2774,5175254.47
2024-10-10 09:00:00,2024-10-10 09:00:00,0.2685,0.2746,0.2668,0.2743,6444719.78
2024-10-10 10:00:00,2024-10-10 10:00:00,0.2705,0.2755,0.2675,0.2685,6614432.65
2024-10-10 11:00:00,2024-10-10 11:00:00,0.2722,0.2755,0.267,0.2706,6440750.05
2024-10-10 12:00:00,2024-10-10 12:00:00,0.2711,0.2744,0.2668,0.2722,4008741.47
2024-10-10 13:00:00,2024-10-10 13:00:00,0.2618,0.2737,0.2614,0.2711,9934083.03
2024-10-10 14:00:00,2024-10-10 14:00:00,0.2583,0.2631,0.2559,0.2619,11245878.24
2024-10-10 15:00:00,2024-10-10 15:00:00,0.2695,0.2698,0.2567,0.2583,13792732.12
2024-10-10 16:00:00,2024-10-10 16:00:00,0.2692,0.2712,0.2676,0.2693,4861922.99
2024-10-10 17:00:00,2024-10-10 17:00:00,0.2688,0.2717,0.2677,0.2692,4762530.39
2024-10-10 18:00:00,2024-10-10 18:00:00,0.2708,0.2719,0.2677,0.2688,3610153.78
2024-10-10 19:00:00,2024-10-10 19:00:00,0.27,0.2729,0.2672,0.2708,4952520.95
2024-10-10 20:00:00,2024-10-10 20:00:00,0.2708,0.2727,0.2698,0.2701,2193896.95
