data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-03 22:00:00,2024-10-03 22:00:00,2352.08,2355.19,2343.24,2350.42,4843.6101
2024-10-03 23:00:00,2024-10-03 23:00:00,2349.8,2357.9,2345.0,2352.08,4246.6033
2024-10-04 00:00:00,2024-10-04 00:00:00,2340.36,2352.83,2339.15,2349.8,6921.6592
2024-10-04 01:00:00,2024-10-04 01:00:00,2377.56,2378.92,2339.89,2340.37,16566.0853
2024-10-04 02:00:00,2024-10-04 02:00:00,2370.4,2380.0,2366.99,2377.56,10781.6514
2024-10-04 03:00:00,2024-10-04 03:00:00,2367.06,2371.87,2361.35,2370.41,3889.9902
2024-10-04 04:00:00,2024-10-04 04:00:00,2374.22,2381.4,2365.63,2367.07,8896.3548
2024-10-04 05:00:00,2024-10-04 05:00:00,2383.34,2385.12,2372.28,2374.22,5823.2308
2024-10-04 06:00:00,2024-10-04 06:00:00,2374.97,2387.58,2374.3,2383.34,5686.3476
2024-10-04 07:00:00,2024-10-04 07:00:00,2381.6,2386.28,2370.9,2374.96,9023.8397
2024-10-04 08:00:00,2024-10-04 08:00:00,2381.51,2393.52,2378.04,2381.6,10313.7143
2024-10-04 09:00:00,2024-10-04 09:00:00,2377.15,2387.82,2374.48,2381.51,7164.6453
2024-10-04 10:00:00,2024-10-04 10:00:00,2375.17,2380.3,2374.11,2377.15,3503.6003
2024-10-04 11:00:00,2024-10-04 11:00:00,2386.2,2386.49,2374.21,2375.17,3962.9595
2024-10-04 12:00:00,2024-10-04 12:00:00,2397.35,2399.05,2374.65,2386.2,17940.6705
2024-10-04 13:00:00,2024-10-04 13:00:00,2378.59,2399.99,2376.16,2397.35,15926.2883
2024-10-04 14:00:00,2024-10-04 14:00:00,2367.21,2383.3,2352.6,2378.59,17158.0439
2024-10-04 15:00:00,2024-10-04 15:00:00,2417.05,2418.41,2366.95,2367.21,28238.7258
2024-10-04 16:00:00,2024-10-04 16:00:00,2433.73,2441.64,2413.4,2417.1,25859.7157
2024-10-04 17:00:00,2024-10-04 17:00:00,2415.25,2437.4,2409.67,2433.73,12562.8677
2024-10-04 18:00:00,2024-10-04 18:00:00,2432.2,2432.46,2409.99,2415.25,7199.0087
2024-10-04 19:00:00,2024-10-04 19:00:00,2428.9,2436.1,2423.6,2432.19,6703.4552
2024-10-04 20:00:00,2024-10-04 20:00:00,2429.3,2431.74,2421.87,2428.9,4657.8411
2024-10-04 21:00:00,2024-10-04 21:00:00,2424.35,2431.22,2422.68,2429.29,3026.8565
2024-10-04 22:00:00,2024-10-04 22:00:00,2420.91,2428.35,2417.38,2424.34,3077.5266
2024-10-04 23:00:00,2024-10-04 23:00:00,2414.41,2421.5,2412.4,2420.91,4497.9386
