data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-03 22:00:00,2024-10-03 22:00:00,10.65,10.69,10.6,10.64,44517.76
2024-10-03 23:00:00,2024-10-03 23:00:00,10.66,10.69,10.6,10.65,48177.14
2024-10-04 00:00:00,2024-10-04 00:00:00,10.6,10.71,10.6,10.66,69315.34
2024-10-04 01:00:00,2024-10-04 01:00:00,10.79,10.79,10.59,10.6,93546.22
2024-10-04 02:00:00,2024-10-04 02:00:00,10.75,10.8,10.73,10.78,50889.29
2024-10-04 03:00:00,2024-10-04 03:00:00,10.74,10.77,10.69,10.76,41923.07
2024-10-04 04:00:00,2024-10-04 04:00:00,10.78,10.83,10.74,10.74,62059.95
2024-10-04 05:00:00,2024-10-04 05:00:00,10.91,10.93,10.77,10.78,83393.26
2024-10-04 06:00:00,2024-10-04 06:00:00,10.9,10.96,10.88,10.91,79444.82
2024-10-04 07:00:00,2024-10-04 07:00:00,10.97,11.0,10.88,10.89,94043.42
2024-10-04 08:00:00,2024-10-04 08:00:00,10.97,11.07,10.96,10.98,114922.85
2024-10-04 09:00:00,2024-10-04 09:00:00,10.98,11.06,10.96,10.97,72006.18
2024-10-04 10:00:00,2024-10-04 10:00:00,10.99,11.05,10.96,10.97,78854.18
2024-10-04 11:00:00,2024-10-04 11:00:00,10.99,11.0,10.92,11.0,92703.14
2024-10-04 12:00:00,2024-10-04 12:00:00,11.07,11.08,10.89,10.98,182934.05
2024-10-04 13:00:00,2024-10-04 13:00:00,11.0,11.09,10.96,11.07,135078.43
2024-10-04 14:00:00,2024-10-04 14:00:00,11.03,11.06,10.89,10.99,150994.42
2024-10-04 15:00:00,2024-10-04 15:00:00,11.17,11.17,11.01,11.02,158309.08
2024-10-04 16:00:00,2024-10-04 16:00:00,11.21,11.25,11.11,11.17,150477.34
2024-10-04 17:00:00,2024-10-04 17:00:00,11.1,11.21,11.07,11.2,101696.31
2024-10-04 18:00:00,2024-10-04 18:00:00,11.14,11.15,11.07,11.09,78936.58
2024-10-04 19:00:00,2024-10-04 19:00:00,11.13,11.16,11.08,11.14,74975.26
2024-10-04 20:00:00,2024-10-04 20:00:00,11.13,11.15,11.08,11.14,67280.73
2024-10-04 21:00:00,2024-10-04 21:00:00,11.07,11.13,11.06,11.12,49785.3
2024-10-04 22:00:00,2024-10-04 22:00:00,11.08,11.1,11.06,11.07,43886.28
2024-10-04 23:00:00,2024-10-04 23:00:00,11.08,11.08,11.03,11.07,53165.01
2024-10-05 00:00:00,2024-10-05 00:00:00,11.13,11.15,11.06,11.08,50479.15
2024-10-05 01:00:00,2024-10-05 01:00:00,11.11,11.16,11.08,11.14,56117.99
2024-10-05 02:00:00,2024-10-05 02:00:00,11.02,11.12,11.02,11.12,67066.48
2024-10-05 03:00:00,2024-10-05 03:00:00,11.04,11.08,10.98,11.02,78900.86
2024-10-05 04:00:00,2024-10-05 04:00:00,11.11,11.14,11.03,11.05,55982.64
2024-10-05 05:00:00,2024-10-05 05:00:00,11.2,11.2,11.11,11.12,59755.12
2024-10-05 06:00:00,2024-10-05 06:00:00,11.23,11.24,11.17,11.2,51599.35
2024-10-05 07:00:00,2024-10-05 07:00:00,11.21,11.25,11.18,11.23,63623.83
2024-10-05 08:00:00,2024-10-05 08:00:00,11.29,11.3,11.22,11.22,38529.94
2024-10-05 09:00:00,2024-10-05 09:00:00,11.36,11.37,11.28,11.29,43556.72
2024-10-05 10:00:00,2024-10-05 10:00:00,11.31,11.38,11.3,11.35,49328.19
2024-10-05 11:00:00,2024-10-05 11:00:00,11.3,11.36,11.29,11.32,19667.64
2024-10-05 12:00:00,2024-10-05 12:00:00,11.37,11.38,11.31,11.31,38283.95
2024-10-05 13:00:00,2024-10-05 13:00:00,11.28,11.37,11.25,11.37,42177.34
2024-10-05 14:00:00,2024-10-05 14:00:00,11.3,11.32,11.23,11.27,43003.02
2024-10-05 15:00:00,2024-10-05 15:00:00,11.35,11.36,11.27,11.29,46627.33
2024-10-05 16:00:00,2024-10-05 16:00:00,11.25,11.36,11.25,11.35,62072.28
2024-10-05 17:00:00,2024-10-05 17:00:00,11.27,11.31,11.25,11.25,62820.43
2024-10-05 18:00:00,2024-10-05 18:00:00,11.22,11.29,11.19,11.27,82488.04
2024-10-05 19:00:00,2024-10-05 19:00:00,11.16,11.23,11.15,11.21,44807.04
2024-10-05 20:00:00,2024-10-05 20:00:00,11.09,11.17,11.08,11.15,53251.04
2024-10-05 21:00:00,2024-10-05 21:00:00,11.19,11.23,11.07,11.09,41797.89
2024-10-05 22:00:00,2024-10-05 22:00:00,11.26,11.28,11.18,11.19,35081.66
2024-10-05 23:00:00,2024-10-05 23:00:00,11.27,11.27,11.21,11.25,19482.39
2024-10-06 00:00:00,2024-10-06 00:00:00,11.2,11.28,11.19,11.27,46827.42
2024-10-06 01:00:00,2024-10-06 01:00:00,11.3,11.32,11.19,11.21,40052.65
2024-10-06 02:00:00,2024-10-06 02:00:00,11.25,11.32,11.24,11.3,34091.09
2024-10-06 03:00:00,2024-10-06 03:00:00,11.27,11.29,11.23,11.25,36021.53
2024-10-06 04:00:00,2024-10-06 04:00:00,11.3,11.33,11.23,11.26,40095.2
2024-10-06 05:00:00,2024-10-06 05:00:00,11.32,11.34,11.26,11.3,30630.9
2024-10-06 06:00:00,2024-10-06 06:00:00,11.36,11.4,11.31,11.32,45905.9
2024-10-06 07:00:00,2024-10-06 07:00:00,11.32,11.38,11.31,11.37,72389.64
2024-10-06 08:00:00,2024-10-06 08:00:00,11.28,11.35,11.28,11.33,36133.25
2024-10-06 09:00:00,2024-10-06 09:00:00,11.27,11.31,11.26,11.28,33306.77
2024-10-06 10:00:00,2024-10-06 10:00:00,11.25,11.28,11.22,11.27,32993.19
2024-10-06 11:00:00,2024-10-06 11:00:00,11.26,11.29,11.22,11.25,46415.14
2024-10-06 12:00:00,2024-10-06 12:00:00,11.26,11.28,11.23,11.26,62128.96
2024-10-06 13:00:00,2024-10-06 13:00:00,11.24,11.31,11.23,11.26,60792.29
2024-10-06 14:00:00,2024-10-06 14:00:00,11.35,11.38,11.19,11.23,130166.79
2024-10-06 15:00:00,2024-10-06 15:00:00,11.31,11.36,11.22,11.34,106682.93
2024-10-06 16:00:00,2024-10-06 16:00:00,11.22,11.37,11.21,11.31,118878.13
2024-10-06 17:00:00,2024-10-06 17:00:00,11.24,11.27,11.19,11.22,64280.88
2024-10-06 18:00:00,2024-10-06 18:00:00,11.26,11.32,11.22,11.24,83339.6
2024-10-06 19:00:00,2024-10-06 19:00:00,11.2,11.32,11.2,11.26,57144.05
2024-10-06 20:00:00,2024-10-06 20:00:00,11.26,11.26,11.17,11.2,55814.77
2024-10-06 21:00:00,2024-10-06 21:00:00,11.16,11.28,11.16,11.26,80314.91
2024-10-06 22:00:00,2024-10-06 22:00:00,11.22,11.24,11.16,11.16,39472.8
2024-10-06 23:00:00,2024-10-06 23:00:00,11.27,11.32,11.22,11.22,84776.1
2024-10-07 00:00:00,2024-10-07 00:00:00,11.45,11.46,11.21,11.28,161166.15
2024-10-07 01:00:00,2024-10-07 01:00:00,11.56,11.57,11.43,11.45,175535.47
2024-10-07 02:00:00,2024-10-07 02:00:00,11.57,11.6,11.52,11.56,119361.72
