data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-03 22:00:00,2024-10-03 22:00:00,63.44,63.47,63.23,63.38,7984.615
2024-10-03 23:00:00,2024-10-03 23:00:00,63.44,63.47,63.25,63.44,15351.37
2024-10-04 00:00:00,2024-10-04 00:00:00,63.37,63.71,63.29,63.45,12959.208
2024-10-04 01:00:00,2024-10-04 01:00:00,64.38,64.41,63.33,63.37,12702.965
2024-10-04 02:00:00,2024-10-04 02:00:00,64.07,64.49,64.06,64.38,9200.556
2024-10-04 03:00:00,2024-10-04 03:00:00,64.05,64.22,63.78,64.06,6219.214
2024-10-04 04:00:00,2024-10-04 04:00:00,64.21,64.37,64.04,64.05,4248.08
2024-10-04 05:00:00,2024-10-04 05:00:00,64.48,64.5,64.19,64.21,7353.104
2024-10-04 06:00:00,2024-10-04 06:00:00,64.11,64.52,64.1,64.49,8131.903
2024-10-04 07:00:00,2024-10-04 07:00:00,64.39,64.49,64.04,64.1,8035.169
2024-10-04 08:00:00,2024-10-04 08:00:00,64.27,64.6,64.26,64.38,11990.599
2024-10-04 09:00:00,2024-10-04 09:00:00,64.34,64.59,64.23,64.27,6752.591
2024-10-04 10:00:00,2024-10-04 10:00:00,64.13,64.43,64.06,64.33,15998.329
2024-10-04 11:00:00,2024-10-04 11:00:00,64.32,64.38,64.06,64.14,12207.122
2024-10-04 12:00:00,2024-10-04 12:00:00,64.47,64.48,63.88,64.32,14955.942
2024-10-04 13:00:00,2024-10-04 13:00:00,64.21,64.58,64.16,64.47,14104.29
2024-10-04 14:00:00,2024-10-04 14:00:00,64.25,64.26,63.81,64.22,15668.277
2024-10-04 15:00:00,2024-10-04 15:00:00,64.56,64.56,64.25,64.26,9561.782
2024-10-04 16:00:00,2024-10-04 16:00:00,64.99,65.1,64.49,64.55,16814.272
2024-10-04 17:00:00,2024-10-04 17:00:00,64.77,65.11,64.67,64.99,7817.176
2024-10-04 18:00:00,2024-10-04 18:00:00,65.11,65.12,64.73,64.77,6515.272
2024-10-04 19:00:00,2024-10-04 19:00:00,65.14,65.2,64.96,65.1,7344.956
2024-10-04 20:00:00,2024-10-04 20:00:00,65.05,65.15,64.85,65.15,5494.676
2024-10-04 21:00:00,2024-10-04 21:00:00,64.84,65.09,64.76,65.05,6020.502
2024-10-04 22:00:00,2024-10-04 22:00:00,64.95,64.96,64.8,64.85,5057.943
2024-10-04 23:00:00,2024-10-04 23:00:00,64.95,65.01,64.81,64.96,7546.223
2024-10-05 00:00:00,2024-10-05 00:00:00,65.37,65.37,64.94,64.95,6240.993
2024-10-05 01:00:00,2024-10-05 01:00:00,65.43,65.47,65.22,65.37,5735.473
2024-10-05 02:00:00,2024-10-05 02:00:00,64.98,65.44,64.95,65.43,4116.73
