data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-08 21:00:00,2024-10-08 21:00:00,4.904,4.921,4.866,4.893,252892.9
2024-10-08 22:00:00,2024-10-08 22:00:00,4.957,4.987,4.895,4.904,362240.7
2024-10-08 23:00:00,2024-10-08 23:00:00,4.902,4.958,4.901,4.957,102770.4
2024-10-09 00:00:00,2024-10-09 00:00:00,4.925,4.936,4.877,4.902,275457.4
2024-10-09 01:00:00,2024-10-09 01:00:00,4.91,4.948,4.902,4.923,134160.6
2024-10-09 02:00:00,2024-10-09 02:00:00,4.969,4.978,4.91,4.911,225386.5
2024-10-09 03:00:00,2024-10-09 03:00:00,4.942,4.972,4.93,4.969,165961.0
2024-10-09 04:00:00,2024-10-09 04:00:00,4.883,4.94,4.874,4.94,469683.5
2024-10-09 05:00:00,2024-10-09 05:00:00,4.88,4.9,4.863,4.883,234277.2
2024-10-09 06:00:00,2024-10-09 06:00:00,4.908,4.91,4.87,4.879,149208.9
2024-10-09 07:00:00,2024-10-09 07:00:00,4.877,4.908,4.868,4.907,134225.7
2024-10-09 08:00:00,2024-10-09 08:00:00,4.888,4.901,4.863,4.878,175628.3
2024-10-09 09:00:00,2024-10-09 09:00:00,4.795,4.894,4.762,4.886,1167308.4
2024-10-09 10:00:00,2024-10-09 10:00:00,4.738,4.8,4.736,4.795,931962.2
2024-10-09 11:00:00,2024-10-09 11:00:00,4.737,4.78,4.723,4.738,730241.8
2024-10-09 12:00:00,2024-10-09 12:00:00,4.798,4.822,4.734,4.738,546856.2
2024-10-09 13:00:00,2024-10-09 13:00:00,4.711,4.803,4.701,4.797,596256.9
2024-10-09 14:00:00,2024-10-09 14:00:00,4.687,4.722,4.673,4.71,574055.5
2024-10-09 15:00:00,2024-10-09 15:00:00,4.616,4.695,4.603,4.687,557541.2
2024-10-09 16:00:00,2024-10-09 16:00:00,4.61,4.646,4.59,4.617,303940.4
2024-10-09 17:00:00,2024-10-09 17:00:00,4.565,4.612,4.552,4.61,518869.4
2024-10-09 18:00:00,2024-10-09 18:00:00,4.613,4.619,4.559,4.563,370895.0
2024-10-09 19:00:00,2024-10-09 19:00:00,4.599,4.617,4.576,4.612,304460.1
2024-10-09 20:00:00,2024-10-09 20:00:00,4.609,4.624,4.593,4.599,133357.9
2024-10-09 21:00:00,2024-10-09 21:00:00,4.583,4.61,4.56,4.609,393166.7
2024-10-09 22:00:00,2024-10-09 22:00:00,4.609,4.625,4.58,4.581,250884.2
2024-10-09 23:00:00,2024-10-09 23:00:00,4.642,4.658,4.607,4.608,310867.3
2024-10-10 00:00:00,2024-10-10 00:00:00,4.647,4.678,4.635,4.642,220865.4
2024-10-10 01:00:00,2024-10-10 01:00:00,4.648,4.655,4.636,4.647,129892.1
2024-10-10 02:00:00,2024-10-10 02:00:00,4.663,4.684,4.627,4.647,222207.3
2024-10-10 03:00:00,2024-10-10 03:00:00,4.656,4.666,4.645,4.663,153720.9
2024-10-10 04:00:00,2024-10-10 04:00:00,4.597,4.656,4.596,4.655,190266.3
2024-10-10 05:00:00,2024-10-10 05:00:00,4.574,4.625,4.567,4.597,327066.8
2024-10-10 06:00:00,2024-10-10 06:00:00,4.545,4.586,4.52,4.575,516957.1
2024-10-10 07:00:00,2024-10-10 07:00:00,4.603,4.628,4.54,4.546,270761.8
2024-10-10 08:00:00,2024-10-10 08:00:00,4.634,4.638,4.598,4.604,257876.8
2024-10-10 09:00:00,2024-10-10 09:00:00,4.551,4.641,4.537,4.634,616702.0
2024-10-10 10:00:00,2024-10-10 10:00:00,4.508,4.597,4.48,4.549,742450.5
2024-10-10 11:00:00,2024-10-10 11:00:00,4.521,4.536,4.48,4.507,417156.5
2024-10-10 12:00:00,2024-10-10 12:00:00,4.528,4.539,4.481,4.522,331407.3
2024-10-10 13:00:00,2024-10-10 13:00:00,4.495,4.564,4.492,4.529,412775.8
2024-10-10 14:00:00,2024-10-10 14:00:00,4.452,4.519,4.432,4.496,463358.5
2024-10-10 15:00:00,2024-10-10 15:00:00,4.525,4.529,4.423,4.452,742589.9
2024-10-10 16:00:00,2024-10-10 16:00:00,4.53,4.537,4.5,4.523,235885.2
