data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-03 22:00:00,2024-10-03 22:00:00,136.94,137.46,136.37,137.12,77412.151
2024-10-03 23:00:00,2024-10-03 23:00:00,136.82,137.45,135.92,136.93,80048.99
2024-10-04 00:00:00,2024-10-04 00:00:00,135.98,137.41,135.95,136.81,75716.683
2024-10-04 01:00:00,2024-10-04 01:00:00,138.15,138.68,135.95,135.98,141078.567
2024-10-04 02:00:00,2024-10-04 02:00:00,137.6,138.4,137.24,138.15,93128.526
2024-10-04 03:00:00,2024-10-04 03:00:00,137.33,137.7,136.77,137.6,51661.102
2024-10-04 04:00:00,2024-10-04 04:00:00,137.72,138.39,137.28,137.34,58805.275
2024-10-04 05:00:00,2024-10-04 05:00:00,139.27,139.48,137.57,137.73,107403.55
2024-10-04 06:00:00,2024-10-04 06:00:00,138.49,139.66,138.35,139.27,103914.912
2024-10-04 07:00:00,2024-10-04 07:00:00,139.56,139.77,138.26,138.48,93194.401
2024-10-04 08:00:00,2024-10-04 08:00:00,140.03,141.03,139.22,139.55,311455.241
2024-10-04 09:00:00,2024-10-04 09:00:00,139.77,140.57,139.58,140.04,91873.554
2024-10-04 10:00:00,2024-10-04 10:00:00,139.45,140.29,139.17,139.76,52934.782
2024-10-04 11:00:00,2024-10-04 11:00:00,140.1,140.22,139.41,139.45,54332.731
2024-10-04 12:00:00,2024-10-04 12:00:00,142.28,142.33,139.21,140.11,261009.732
2024-10-04 13:00:00,2024-10-04 13:00:00,141.16,142.67,140.41,142.27,315389.135
2024-10-04 14:00:00,2024-10-04 14:00:00,139.86,141.23,138.05,141.15,331874.596
2024-10-04 15:00:00,2024-10-04 15:00:00,142.43,142.59,139.84,139.86,248632.531
2024-10-04 16:00:00,2024-10-04 16:00:00,143.85,144.42,141.86,142.44,245367.156
2024-10-04 17:00:00,2024-10-04 17:00:00,142.82,144.05,142.54,143.84,119290.459
2024-10-04 18:00:00,2024-10-04 18:00:00,143.91,143.91,142.33,142.83,77222.216
2024-10-04 19:00:00,2024-10-04 19:00:00,143.89,144.54,143.53,143.91,83610.175
2024-10-04 20:00:00,2024-10-04 20:00:00,143.71,143.95,142.83,143.89,54838.11
2024-10-04 21:00:00,2024-10-04 21:00:00,143.57,144.55,143.31,143.71,60803.346
2024-10-04 22:00:00,2024-10-04 22:00:00,142.93,143.78,142.61,143.57,53743.169
2024-10-04 23:00:00,2024-10-04 23:00:00,143.24,143.29,142.6,142.93,32872.004
2024-10-05 00:00:00,2024-10-05 00:00:00,144.0,144.0,143.1,143.24,44156.411
2024-10-05 01:00:00,2024-10-05 01:00:00,143.56,144.0,142.84,144.0,162495.787
2024-10-05 02:00:00,2024-10-05 02:00:00,142.37,143.73,142.3,143.56,83269.004
2024-10-05 03:00:00,2024-10-05 03:00:00,141.83,142.38,141.71,142.37,77208.936
2024-10-05 04:00:00,2024-10-05 04:00:00,142.35,142.77,141.56,141.83,58364.656
2024-10-05 05:00:00,2024-10-05 05:00:00,143.53,143.55,142.3,142.36,51282.49
2024-10-05 06:00:00,2024-10-05 06:00:00,144.35,144.44,143.09,143.52,82328.828
2024-10-05 07:00:00,2024-10-05 07:00:00,143.8,144.58,143.76,144.36,58481.376
2024-10-05 08:00:00,2024-10-05 08:00:00,144.5,144.93,143.71,143.8,86708.097
2024-10-05 09:00:00,2024-10-05 09:00:00,144.71,144.89,144.41,144.49,46441.409
2024-10-05 10:00:00,2024-10-05 10:00:00,144.0,144.72,143.9,144.72,40061.621
2024-10-05 11:00:00,2024-10-05 11:00:00,143.45,144.24,143.3,144.0,52193.191
2024-10-05 12:00:00,2024-10-05 12:00:00,144.1,144.1,143.37,143.45,52322.633
2024-10-05 13:00:00,2024-10-05 13:00:00,142.79,144.16,142.73,144.1,56243.516
2024-10-05 14:00:00,2024-10-05 14:00:00,143.13,143.52,142.5,142.79,65944.588
2024-10-05 15:00:00,2024-10-05 15:00:00,142.9,143.31,142.56,143.14,30769.145
2024-10-05 16:00:00,2024-10-05 16:00:00,142.2,143.02,142.14,142.89,70504.715
2024-10-05 17:00:00,2024-10-05 17:00:00,142.72,142.86,142.12,142.21,50376.002
2024-10-05 18:00:00,2024-10-05 18:00:00,142.3,142.91,142.08,142.71,39781.831
2024-10-05 19:00:00,2024-10-05 19:00:00,142.16,142.48,142.01,142.29,47448.413
2024-10-05 20:00:00,2024-10-05 20:00:00,141.13,142.32,141.06,142.17,94382.77
2024-10-05 21:00:00,2024-10-05 21:00:00,141.69,142.26,141.13,141.13,48337.569
2024-10-05 22:00:00,2024-10-05 22:00:00,142.97,142.98,141.65,141.68,48075.601
2024-10-05 23:00:00,2024-10-05 23:00:00,142.59,142.96,142.32,142.96,28039.227
2024-10-06 00:00:00,2024-10-06 00:00:00,142.29,142.67,142.0,142.59,40925.977
2024-10-06 01:00:00,2024-10-06 01:00:00,143.49,143.5,142.12,142.29,46475.991
2024-10-06 02:00:00,2024-10-06 02:00:00,143.18,143.54,142.89,143.49,34243.651
2024-10-06 03:00:00,2024-10-06 03:00:00,142.69,143.68,142.62,143.17,44343.128
2024-10-06 04:00:00,2024-10-06 04:00:00,142.4,143.14,142.09,142.69,28974.269
2024-10-06 05:00:00,2024-10-06 05:00:00,142.63,142.92,142.15,142.39,24852.17
2024-10-06 06:00:00,2024-10-06 06:00:00,143.04,143.37,142.55,142.62,27535.733
2024-10-06 07:00:00,2024-10-06 07:00:00,142.97,143.42,142.79,143.04,28302.111
2024-10-06 08:00:00,2024-10-06 08:00:00,143.31,143.49,142.63,142.96,36301.391
2024-10-06 09:00:00,2024-10-06 09:00:00,143.77,144.24,143.29,143.32,70559.626
2024-10-06 10:00:00,2024-10-06 10:00:00,143.55,144.04,143.35,143.77,36742.708
2024-10-06 11:00:00,2024-10-06 11:00:00,144.02,144.33,143.41,143.54,60390.814
2024-10-06 12:00:00,2024-10-06 12:00:00,144.53,144.64,143.95,144.02,52672.516
2024-10-06 13:00:00,2024-10-06 13:00:00,144.4,144.99,144.38,144.52,72333.02
2024-10-06 14:00:00,2024-10-06 14:00:00,146.37,146.59,144.09,144.4,135725.227
2024-10-06 15:00:00,2024-10-06 15:00:00,146.0,146.7,145.2,146.37,113905.724
2024-10-06 16:00:00,2024-10-06 16:00:00,144.9,146.5,144.89,145.99,134942.47
2024-10-06 17:00:00,2024-10-06 17:00:00,145.11,145.63,144.89,144.9,54883.281
2024-10-06 18:00:00,2024-10-06 18:00:00,145.94,145.99,145.1,145.11,39866.513
2024-10-06 19:00:00,2024-10-06 19:00:00,145.42,146.52,145.25,145.94,91755.222
2024-10-06 20:00:00,2024-10-06 20:00:00,145.43,145.59,145.17,145.42,33158.815
2024-10-06 21:00:00,2024-10-06 21:00:00,144.41,145.96,144.31,145.43,54674.406
2024-10-06 22:00:00,2024-10-06 22:00:00,145.35,145.44,144.41,144.41,40729.632
2024-10-06 23:00:00,2024-10-06 23:00:00,146.48,146.75,145.34,145.35,104777.005
2024-10-07 00:00:00,2024-10-07 00:00:00,149.25,149.45,145.88,146.47,223569.998
2024-10-07 01:00:00,2024-10-07 01:00:00,150.44,150.45,148.66,149.24,190370.505
2024-10-07 02:00:00,2024-10-07 02:00:00,149.49,151.0,149.21,150.44,131726.818
2024-10-07 03:00:00,2024-10-07 03:00:00,149.94,150.11,149.02,149.49,117440.708
2024-10-07 04:00:00,2024-10-07 04:00:00,149.53,150.54,149.52,149.95,103339.55
2024-10-07 05:00:00,2024-10-07 05:00:00,148.87,150.07,148.71,149.53,110841.618
2024-10-07 06:00:00,2024-10-07 06:00:00,149.5,149.53,148.7,148.87,72085.74
2024-10-07 07:00:00,2024-10-07 07:00:00,148.02,149.5,146.63,149.5,222074.526
2024-10-07 08:00:00,2024-10-07 08:00:00,148.42,149.21,147.97,148.02,78780.815
2024-10-07 09:00:00,2024-10-07 09:00:00,147.38,148.61,146.73,148.43,137942.002
2024-10-07 10:00:00,2024-10-07 10:00:00,146.65,147.38,146.09,147.38,98119.61
2024-10-07 11:00:00,2024-10-07 11:00:00,147.43,147.44,145.65,146.66,121881.915
2024-10-07 12:00:00,2024-10-07 12:00:00,146.56,147.44,146.5,147.44,76702.607
2024-10-07 13:00:00,2024-10-07 13:00:00,147.88,147.96,146.38,146.56,115212.966
2024-10-07 14:00:00,2024-10-07 14:00:00,150.49,152.4,147.76,147.88,537029.087
2024-10-07 15:00:00,2024-10-07 15:00:00,148.71,150.52,148.3,150.49,244410.137
2024-10-07 16:00:00,2024-10-07 16:00:00,149.15,149.43,147.75,148.7,146181.544
2024-10-07 17:00:00,2024-10-07 17:00:00,149.09,149.34,148.32,149.16,75877.258
2024-10-07 18:00:00,2024-10-07 18:00:00,145.71,149.1,145.49,149.1,231161.32
2024-10-07 19:00:00,2024-10-07 19:00:00,147.09,147.35,145.6,145.72,137157.82
2024-10-07 20:00:00,2024-10-07 20:00:00,145.69,147.26,145.66,147.1,71456.261
2024-10-07 21:00:00,2024-10-07 21:00:00,146.87,147.03,145.69,145.69,44864.486
2024-10-07 22:00:00,2024-10-07 22:00:00,144.46,146.9,144.38,146.86,123270.589
2024-10-07 23:00:00,2024-10-07 23:00:00,143.96,145.66,143.5,144.47,196257.071
2024-10-08 00:00:00,2024-10-08 00:00:00,144.83,145.11,143.5,143.97,125383.382
2024-10-08 01:00:00,2024-10-08 01:00:00,145.08,145.44,143.92,144.82,82032.715
2024-10-08 02:00:00,2024-10-08 02:00:00,145.31,145.6,144.08,145.08,90682.333
2024-10-08 03:00:00,2024-10-08 03:00:00,144.71,145.32,144.54,145.31,56498.017
2024-10-08 04:00:00,2024-10-08 04:00:00,144.27,145.05,143.69,144.71,60314.964
2024-10-08 05:00:00,2024-10-08 05:00:00,143.76,144.39,142.89,144.28,115726.2
2024-10-08 06:00:00,2024-10-08 06:00:00,144.07,144.39,142.73,143.76,90881.009
2024-10-08 07:00:00,2024-10-08 07:00:00,143.08,144.09,142.17,144.08,125680.746
2024-10-08 08:00:00,2024-10-08 08:00:00,143.56,143.71,142.64,143.08,101530.64
2024-10-08 09:00:00,2024-10-08 09:00:00,143.65,143.96,142.85,143.56,66925.937
2024-10-08 10:00:00,2024-10-08 10:00:00,144.09,144.35,143.27,143.66,65780.93
