data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-08 21:00:00,2024-10-08 21:00:00,1.9607,1.997,1.9546,1.9869,4136400.2
2024-10-08 22:00:00,2024-10-08 22:00:00,1.9804,1.9887,1.9578,1.961,3407669.8
2024-10-08 23:00:00,2024-10-08 23:00:00,1.9482,1.982,1.9423,1.9804,3724330.7
2024-10-09 00:00:00,2024-10-09 00:00:00,1.9539,1.961,1.9385,1.9486,2843969.0
2024-10-09 01:00:00,2024-10-09 01:00:00,1.9457,1.9687,1.94,1.9539,2661655.4
2024-10-09 02:00:00,2024-10-09 02:00:00,1.9808,1.9871,1.9446,1.9456,4449005.9
2024-10-09 03:00:00,2024-10-09 03:00:00,1.9611,1.9844,1.9527,1.9809,3021462.5
2024-10-09 04:00:00,2024-10-09 04:00:00,1.9191,1.9611,1.9155,1.961,5251387.1
2024-10-09 05:00:00,2024-10-09 05:00:00,1.9113,1.9292,1.8928,1.9191,4252955.3
2024-10-09 06:00:00,2024-10-09 06:00:00,1.9121,1.9191,1.8961,1.9112,4387076.6
2024-10-09 07:00:00,2024-10-09 07:00:00,1.9106,1.9137,1.8909,1.912,3008672.5
2024-10-09 08:00:00,2024-10-09 08:00:00,1.9077,1.916,1.8985,1.9107,2284820.4
2024-10-09 09:00:00,2024-10-09 09:00:00,1.8948,1.9115,1.8766,1.9077,7509281.0
2024-10-09 10:00:00,2024-10-09 10:00:00,1.8985,1.9114,1.8736,1.8948,5568625.7
2024-10-09 11:00:00,2024-10-09 11:00:00,1.9319,1.9386,1.8882,1.8984,8212465.3
2024-10-09 12:00:00,2024-10-09 12:00:00,1.9851,1.9974,1.9251,1.9318,12801673.0
2024-10-09 13:00:00,2024-10-09 13:00:00,1.9411,1.9942,1.9287,1.9851,8653128.3
2024-10-09 14:00:00,2024-10-09 14:00:00,1.917,1.955,1.9126,1.941,5674274.3
2024-10-09 15:00:00,2024-10-09 15:00:00,1.911,1.9251,1.9006,1.9169,4578451.9
2024-10-09 16:00:00,2024-10-09 16:00:00,1.8941,1.922,1.891,1.911,3670762.6
2024-10-09 17:00:00,2024-10-09 17:00:00,1.8517,1.899,1.8515,1.8941,7318291.8
2024-10-09 18:00:00,2024-10-09 18:00:00,1.8724,1.8792,1.8435,1.8518,5551141.4
2024-10-09 19:00:00,2024-10-09 19:00:00,1.8572,1.8727,1.8547,1.8723,2569747.0
2024-10-09 20:00:00,2024-10-09 20:00:00,1.8755,1.8819,1.8551,1.8572,2750962.0
2024-10-09 21:00:00,2024-10-09 21:00:00,1.8614,1.885,1.8568,1.8756,3113062.0
2024-10-09 22:00:00,2024-10-09 22:00:00,1.8941,1.9029,1.8594,1.8614,4231678.0
2024-10-09 23:00:00,2024-10-09 23:00:00,1.8765,1.9049,1.8719,1.894,2665609.4
2024-10-10 00:00:00,2024-10-10 00:00:00,1.8698,1.8913,1.8683,1.8764,2106999.4
