data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-08 21:00:00,2024-10-08 21:00:00,1.855,1.874,1.837,1.85,1027672.8
2024-10-08 22:00:00,2024-10-08 22:00:00,1.879,1.886,1.85,1.855,901390.9
2024-10-08 23:00:00,2024-10-08 23:00:00,1.838,1.885,1.836,1.879,1295267.3
2024-10-09 00:00:00,2024-10-09 00:00:00,1.85,1.859,1.828,1.837,646434.7
2024-10-09 01:00:00,2024-10-09 01:00:00,1.846,1.876,1.844,1.85,760283.4
2024-10-09 02:00:00,2024-10-09 02:00:00,1.876,1.883,1.845,1.847,1021041.4
2024-10-09 03:00:00,2024-10-09 03:00:00,1.857,1.879,1.854,1.876,981167.8
2024-10-09 04:00:00,2024-10-09 04:00:00,1.854,1.858,1.831,1.857,920526.4
2024-10-09 05:00:00,2024-10-09 05:00:00,1.852,1.866,1.844,1.853,604342.7
2024-10-09 06:00:00,2024-10-09 06:00:00,1.868,1.874,1.849,1.853,936522.4
2024-10-09 07:00:00,2024-10-09 07:00:00,1.841,1.87,1.836,1.868,732489.1
2024-10-09 08:00:00,2024-10-09 08:00:00,1.848,1.853,1.833,1.84,610713.1
2024-10-09 09:00:00,2024-10-09 09:00:00,1.807,1.848,1.794,1.848,1863882.1
2024-10-09 10:00:00,2024-10-09 10:00:00,1.78,1.813,1.777,1.806,2191709.5
2024-10-09 11:00:00,2024-10-09 11:00:00,1.779,1.801,1.773,1.78,1346904.0
2024-10-09 12:00:00,2024-10-09 12:00:00,1.831,1.836,1.778,1.78,1910695.0
2024-10-09 13:00:00,2024-10-09 13:00:00,1.792,1.838,1.786,1.83,888116.0
2024-10-09 14:00:00,2024-10-09 14:00:00,1.79,1.806,1.777,1.792,758329.9
2024-10-09 15:00:00,2024-10-09 15:00:00,1.766,1.797,1.753,1.79,1192305.9
2024-10-09 16:00:00,2024-10-09 16:00:00,1.752,1.776,1.748,1.766,810190.6
2024-10-09 17:00:00,2024-10-09 17:00:00,1.721,1.76,1.717,1.752,1405212.7
2024-10-09 18:00:00,2024-10-09 18:00:00,1.736,1.743,1.717,1.721,802737.6
2024-10-09 19:00:00,2024-10-09 19:00:00,1.736,1.737,1.721,1.736,791527.6
2024-10-09 20:00:00,2024-10-09 20:00:00,1.735,1.746,1.732,1.737,486143.8
2024-10-09 21:00:00,2024-10-09 21:00:00,1.73,1.743,1.715,1.736,1044336.2
2024-10-09 22:00:00,2024-10-09 22:00:00,1.735,1.753,1.729,1.729,1039035.5
2024-10-09 23:00:00,2024-10-09 23:00:00,1.742,1.75,1.735,1.735,406618.3
2024-10-10 00:00:00,2024-10-10 00:00:00,1.739,1.751,1.737,1.742,379949.4
2024-10-10 01:00:00,2024-10-10 01:00:00,1.739,1.746,1.735,1.739,214311.6
2024-10-10 02:00:00,2024-10-10 02:00:00,1.758,1.763,1.726,1.739,707981.7
2024-10-10 03:00:00,2024-10-10 03:00:00,1.768,1.77,1.753,1.757,1293719.2
2024-10-10 04:00:00,2024-10-10 04:00:00,1.744,1.77,1.744,1.768,412693.9
2024-10-10 05:00:00,2024-10-10 05:00:00,1.724,1.763,1.721,1.744,913336.0
2024-10-10 06:00:00,2024-10-10 06:00:00,1.716,1.732,1.702,1.724,1366116.9
2024-10-10 07:00:00,2024-10-10 07:00:00,1.742,1.753,1.715,1.716,870069.2
2024-10-10 08:00:00,2024-10-10 08:00:00,1.748,1.756,1.733,1.741,809620.1
2024-10-10 09:00:00,2024-10-10 09:00:00,1.708,1.75,1.703,1.748,1565279.7
2024-10-10 10:00:00,2024-10-10 10:00:00,1.693,1.729,1.676,1.709,2005556.6
2024-10-10 11:00:00,2024-10-10 11:00:00,1.685,1.701,1.669,1.692,1560196.2
2024-10-10 12:00:00,2024-10-10 12:00:00,1.691,1.696,1.663,1.685,1401358.5
2024-10-10 13:00:00,2024-10-10 13:00:00,1.65,1.711,1.649,1.691,1802901.5
2024-10-10 14:00:00,2024-10-10 14:00:00,1.648,1.669,1.639,1.65,1402978.3
2024-10-10 15:00:00,2024-10-10 15:00:00,1.685,1.687,1.646,1.648,1585793.3
2024-10-10 16:00:00,2024-10-10 16:00:00,1.682,1.692,1.68,1.685,676764.9
2024-10-10 17:00:00,2024-10-10 17:00:00,1.681,1.692,1.668,1.682,1255247.0
2024-10-10 18:00:00,2024-10-10 18:00:00,1.703,1.705,1.675,1.681,668091.1
2024-10-10 19:00:00,2024-10-10 19:00:00,1.692,1.705,1.684,1.704,870211.3
2024-10-10 20:00:00,2024-10-10 20:00:00,1.7,1.704,1.689,1.692,638139.8
2024-10-10 21:00:00,2024-10-10 21:00:00,1.694,1.709,1.692,1.701,782703.7
2024-10-10 22:00:00,2024-10-10 22:00:00,1.713,1.723,1.686,1.693,825613.9
2024-10-10 23:00:00,2024-10-10 23:00:00,1.709,1.716,1.702,1.713,757478.4
2024-10-11 00:00:00,2024-10-11 00:00:00,1.714,1.723,1.71,1.71,536651.0
2024-10-11 01:00:00,2024-10-11 01:00:00,1.711,1.727,1.709,1.715,621403.6
2024-10-11 02:00:00,2024-10-11 02:00:00,1.709,1.732,1.707,1.711,674470.7
2024-10-11 03:00:00,2024-10-11 03:00:00,1.735,1.743,1.708,1.708,718018.1
2024-10-11 04:00:00,2024-10-11 04:00:00,1.757,1.762,1.733,1.735,651822.8
2024-10-11 05:00:00,2024-10-11 05:00:00,1.755,1.764,1.746,1.757,646108.9
2024-10-11 06:00:00,2024-10-11 06:00:00,1.8,1.809,1.755,1.755,1362205.2
2024-10-11 07:00:00,2024-10-11 07:00:00,1.819,1.83,1.797,1.801,2166088.0
2024-10-11 08:00:00,2024-10-11 08:00:00,1.804,1.822,1.804,1.819,1000162.6
2024-10-11 09:00:00,2024-10-11 09:00:00,1.839,1.844,1.805,1.805,1673758.6
2024-10-11 10:00:00,2024-10-11 10:00:00,1.881,1.899,1.821,1.839,3379060.3
2024-10-11 11:00:00,2024-10-11 11:00:00,1.941,1.955,1.877,1.881,4938074.1
2024-10-11 12:00:00,2024-10-11 12:00:00,1.928,1.961,1.906,1.941,3553633.9
2024-10-11 13:00:00,2024-10-11 13:00:00,1.946,1.951,1.907,1.929,2060474.0
2024-10-11 14:00:00,2024-10-11 14:00:00,1.938,1.95,1.93,1.946,1598645.4
2024-10-11 15:00:00,2024-10-11 15:00:00,1.933,1.946,1.925,1.939,892203.0
2024-10-11 16:00:00,2024-10-11 16:00:00,1.932,1.946,1.922,1.933,837294.8
2024-10-11 17:00:00,2024-10-11 17:00:00,1.929,1.94,1.924,1.932,553783.1
