data,timestamp,valor_fechamento,valor_maximo,valor_minimo,valor_abertura,volume
2024-10-03 22:00:00,2024-10-03 22:00:00,0.5249,0.5258,0.5218,0.525,6750324.0
2024-10-03 23:00:00,2024-10-03 23:00:00,0.5217,0.5261,0.5211,0.5248,6128875.0
2024-10-04 00:00:00,2024-10-04 00:00:00,0.5155,0.5233,0.51,0.5218,23074437.0
2024-10-04 01:00:00,2024-10-04 01:00:00,0.5238,0.5242,0.5151,0.5155,16934727.0
2024-10-04 02:00:00,2024-10-04 02:00:00,0.523,0.5289,0.5228,0.5238,14171517.0
2024-10-04 03:00:00,2024-10-04 03:00:00,0.5247,0.5251,0.5219,0.5229,5575106.0
2024-10-04 04:00:00,2024-10-04 04:00:00,0.526,0.5279,0.5241,0.5247,6743053.0
2024-10-04 05:00:00,2024-10-04 05:00:00,0.5282,0.53,0.5257,0.5259,10655009.0
2024-10-04 06:00:00,2024-10-04 06:00:00,0.5209,0.5281,0.5199,0.5281,19959792.0
2024-10-04 07:00:00,2024-10-04 07:00:00,0.5241,0.5243,0.5204,0.5208,10648622.0
2024-10-04 08:00:00,2024-10-04 08:00:00,0.5232,0.5278,0.5223,0.524,12599922.0
2024-10-04 09:00:00,2024-10-04 09:00:00,0.523,0.526,0.5224,0.5231,15273699.0
2024-10-04 10:00:00,2024-10-04 10:00:00,0.5237,0.5255,0.5218,0.523,8881152.0
2024-10-04 11:00:00,2024-10-04 11:00:00,0.5251,0.5255,0.5221,0.5237,12782143.0
2024-10-04 12:00:00,2024-10-04 12:00:00,0.5276,0.5277,0.522,0.525,20125259.0
2024-10-04 13:00:00,2024-10-04 13:00:00,0.5235,0.528,0.523,0.5275,24418325.0
2024-10-04 14:00:00,2024-10-04 14:00:00,0.5203,0.5236,0.5155,0.5234,27824501.0
2024-10-04 15:00:00,2024-10-04 15:00:00,0.5219,0.5231,0.5164,0.5202,23239834.0
2024-10-04 16:00:00,2024-10-04 16:00:00,0.5319,0.5329,0.5213,0.522,25542577.0
2024-10-04 17:00:00,2024-10-04 17:00:00,0.5315,0.5331,0.53,0.5318,11685583.0
2024-10-04 18:00:00,2024-10-04 18:00:00,0.5388,0.539,0.5303,0.5315,13515452.0
2024-10-04 19:00:00,2024-10-04 19:00:00,0.536,0.5388,0.5355,0.5388,11821830.0
2024-10-04 20:00:00,2024-10-04 20:00:00,0.5345,0.5362,0.5317,0.5359,7701274.0
2024-10-04 21:00:00,2024-10-04 21:00:00,0.5346,0.5355,0.5334,0.5344,7029459.0
2024-10-04 22:00:00,2024-10-04 22:00:00,0.5343,0.5346,0.5323,0.5345,6817144.0
2024-10-04 23:00:00,2024-10-04 23:00:00,0.534,0.5349,0.5328,0.5343,4820196.0
